SpeciesCode,FireTolerance
abiebals,1
acerrubr,1
acersacc,1
betualle,2
betupapy,2
fraxamer,1
piceglau,2
pinubank,3
pinuresi,4
pinustro,3
poputrem,1
querelli,3
querrubr,2
thujocci,1
tiliamer,2
